Time,difference,current
11/20/20,14612,621383
11/21/20,13012,634395
11/22/20,11891,646286
11/23/20,10012,656298
11/24/20,8322,664620
11/25/20,9469,674089
11/26/20,11378,685467
11/27/20,12022,697489
11/28/20,7574,705063
11/29/20,7873,712936
11/30/20,7178,720114
12/01/20,6190,726304
12/02/20,12542,738846
12/03/20,9757,748603
12/04/20,10959,759562
12/05/20,10526,770088
12/06/20,9887,779975
12/07/20,7598,787573
12/08/20,8691,796264
12/09/20,7910,804174
12/10/20,8256,812430
12/11/20,11101,823531
12/12/20,9420,832951
12/13/20,8737,841688
12/14/20,7216,848904
12/15/20,7214,856118
12/16/20,7359,863477
12/17/20,7123,870600
12/18/20,8828,879428
12/19/20,7377,886805
12/20/20,7562,894367
12/21/20,6003,900370
12/22/20,4699,905069
01/13/21,135099,1040168
01/15/21,147613,1052682
